Symbol,Market Cap
EMN,6919474068.00
EMP,9387466922.00
EMR,76764352000.00
ENB,105006608010.00
ENIC,5381158150.00
ENJ,9842995764.00
ENLT,5404623035.00
ENO,4813332343.00
ENOV,1599015093.00
ENPH,4025244649.00
ENR,1239261994.00
ENS,5406819186.00
ENSG,10307135887.00
ENTG,13362024000.00
ENVA,3376982997.00
ENVX,1961767476.00
EOG,60857842937.00
EOSE,4493701074.00
EPAC,1992635945.00
EPAM,11131387527.00
EPD,70545899441.00
EPR,3952445101.00
EPRT,6154369785.00
EQH,13169012512.00
EQIX,71291929375.00
EQNR,68818413575.00
EQR,23441047561.00
EQT,37487704690.00
EQX,10947630459.00
ERIC,31875356517.00
ERIE,13847320846.00
ERO,2610762083.00
ES,25160184064.00
ESAB,6876124009.00
ESE,5228412626.00
ESI,6357337741.00
ESLT,21416152024.00
ESNT,5949736967.00
ESRT,1169227463.00
ESS,16588543947.00
ESTA,2054681846.00
ESTC,7769136544.00
ET,57680899147.00
ETN,131640412000.00
ETOR,3552774744.00
ETR,42185543552.00
ETSY,5151466558.00
ETV,1565815441.00
ETW,1006107675.00
EVCM,1738069903.00
EVEX,1755455103.00
EVGO,1068700084.00
EVLV,1171684022.00
EVR,12698040913.00
EVRG,16992105969.00
EVTC,1954706343.00
EW,49778134000.00
EWBC,14983072276.00
EWTX,2510140570.00
EXAS,19161232367.00
EXC,44361847776.00
EXE,29078138307.00
EXEEL,27156108852.00
EXEL,11896136406.00
EXK,2556402466.00
EXLS,6494040214.00
EXP,7114653668.00
EXPD,20170150116.00
EXPE,31659951226.00
EXPI,1766264371.00
EXPO,3704126531.00
EXR,27823535262.00
EXTR,2333387459.00
EYE,2232564058.00
EYPT,1384202318.00
EZPW,1218441356.00
F,52356311157.00
FA,2418456767.00
FAF,6602101000.00
FANG,45703700689.00
FAST,47930491352.00
FBIN,6094618901.00
FBK,3060727095.00
FBNC,2140025630.00
FBP,3218754491.00
FBYD,2378868143.00
FCF,1722515384.00
FCFS,7150173642.00
FCN,5145805826.00
FCNCA,24388355871.00
FCPT,2478075824.00
FCX,64056866743.00
FDP,1764800262.00
FDS,10447318448.00
FDX,64663594087.00
FE,26075823153.00
FELE,4206676108.00
FER,47589896959.00
FERG,50253092703.00
FFBC,2543051402.00
FFIN,4526744884.00
FFIV,14134945775.00
FG,4473407215.00
FGN,3281084219.00
FHB,3133817088.00
FHI,3937054438.00
FHN,11241357440.00
FIBK,3464326973.00
FICO,42009349108.00
FIG,19184355404.00
FIGR,8350028672.00
FIGS,1824290572.00
FIHL,2020861969.00
FINV,1269603444.00
FIS,33950296088.00
FISV,35530495655.00
FITB,30049595019.00
FITBI,17034273287.00
FITBO,12922780084.00
FITBP,16379871636.00
FIVE,9287598710.00
FIVN,1622200918.00
FIX,35435964568.00
FIZZ,3252367346.00
FLEX,22627470170.00
FLG,5284257197.00
FLNC,4268154104.00
FLNG,1397087047.00
FLO,2255383443.00
FLOC,1635306160.00
FLR,7325744943.00
FLS,9138333942.00
FLUT,36978981354.00
FLY,3220057687.00
FLYW,1655892237.00
FMC,1660187690.00
FMS,13714144606.00
FMX,35271225168.00
FN,16902561134.00
FNB,6066833716.00
FND,6998760449.00
FNF,15825423594.00
FNV,39120256294.00
FOLD,3069908803.00
FOR,1336638204.00
FORM,4445605513.00
FORTY,2587153956.00
FOUR,6146629932.00
FOX,26720912377.00
FOXA,30094877057.00
FR,7517611700.00
FRA,1767298155.00
FRHC,8369736557.00
FRME,2174220752.00
FRMEP,1491885516.00
FRMI,9769143764.00
FRO,5173755940.00
FROG,7349593248.00
FRPT,3025628811.00
FRSH,3552844088.00
FRT,8379408111.00
FSCO,1202036754.00
FSK,4355033033.00
FSLR,27608238516.00
FSLY,1721088000.00
FSM,2854727870.00
FSS,6745495447.00
FSV,7081282479.00
FTAI,18036423132.00
FTAIM,2745877202.00
FTAIN,2594069273.00
FTDR,3842191243.00
FTI,18814229200.00
FTNT,63343945328.00
FTRE,1339800000.00
FTS,25745076000.00
FTV,16954109130.00
FUBO,3742840134.00
FUL,3145268895.00
FULT,3424058391.00
FULTP,3483654344.00
FUN,1554587027.00
FUTU,23789803438.00
FWONA,21442150823.00
FWONK,23322558685.00
FWRG,1104070779.00
FYBR,9510340620.00
G,7932787602.00
GAB,1818728548.00
GABC,1503421060.00
GAM,1412642941.00
GAP,9859645327.00
GATX,5882646000.00
GBCI,5560190966.00
GBDC,3746508433.00
GBTG,4125385928.00
GBX,1440021365.00
GCMG,2175000016.00
GCT,1482269760.00
GD,92300155031.00
GDDY,17603544034.00
GDS,6768740566.00
GDV,2458538265.00
GE,307857988064.00
GEF,3103244968.00
GEHC,37589641772.00
GEL,1985146595.00
GEMI,1395373095.00
GEN,16688337855.00
GENI,2693150604.00
GENVR,3089747696.00
GEO,2388624793.00
GEV,170690413961.00
GFF,3386427269.00
GFI,37250909160.00
GFL,16052840342.00
GFS,20778463888.00
GGAL,8316378687.00
GGB,7691580572.00
GGG,13830545324.00
GH,13677978978.00
GHC,4748192066.00
GIB,20050221969.00
GIC,1091304276.00
GIII,1243245680.00
GIL,8694144830.00
GILD,152132135372.00
GIS,24526487084.00
GJS,7279870640.00
GKOS,6251771449.00
GL,10414030756.00
GLBE,6871803419.00
GLNG,4050982271.00
GLOB,3094640905.00
GLP,1553257273.00
GLPG,2093549946.00
GLPI,12104266787.00
GLUE,1123932555.00
GLW,73261445838.00
GLXY,10769126798.00
GM,70235127503.00
GMAB,21193136957.00
GME,11301339255.00
GMED,11876887591.00
GNL,1782355713.00
GNRC,9579586934.00
GNTX,5061960287.00
GNW,3466623322.00
GO,1116801677.00
GOLF,4921685503.00
GOODN,1113952582.00
GOOG,3842012130000.00
GOOGL,3832720540000.00
GOOS,1355108647.00
GPC,18130271465.00
GPCR,1993260474.00
GPI,5157712452.00
GPK,4662945170.00
GPN,18877943914.00
GPOR,4184795668.00
GRAB,21592931766.00
GRABW,1450800566.00
GRAL,4081633659.00
GRBK,2884445139.00
GRC,1210653860.00
GRDN,1856560989.00
GRFS,6112363132.00
GRMN,38868940945.00
GRND,2517926069.00
GS,251289104371.00
GSAT,8661795292.00
GSBD,1154824532.00
GSHD,2774373531.00
GSK,99054267748.00
GSL,1295791820.00
GT,2423782899.00
GTES,5697665425.00
GTLB,6316684000.00
GTLS,9219850660.00
GTM,3087882012.00
GTX,3257582177.00
GTY,1602955035.00
GVA,4727710488.00
GWRE,17841869098.00
GWW,46071028113.00
GXO,5970624140.00
H,14876858775.00
HAE,3923118610.00
HAFN,2968018266.00
HAL,23422468556.00
HALO,7402731150.00
HAS,11486585333.00
HASI,4248801375.00
HAYW,3506678575.00
HBAN,26929133899.00
HBANL,40614173290.00
HBANM,34871023675.00
HBANP,27417322876.00
HBM,6869217400.00
HBNB,1496233823.00
HCA,111281037274.00
HCC,4342820587.00
HCI,2242216001.00
HCM,2469984505.00
HCSG,1323859014.00
HCXY,4596394780.00
HD,349593768187.00
HDB,184044233192.00
HDL,1191347768.00
HE,1947158969.00
HEI,43939133663.00
HESM,4421337556.00
HG,1707669447.00
HGTY,4357895984.00
HGV,3621894558.00
HHH,5177703893.00
HI,2240706708.00
HIG,36742827503.00
HII,12395584172.00
HIMS,9110493530.00
HIMX,1439537397.00
HIW,2917684160.00
HL,11271059629.00
HLF,1247993498.00
HLI,12567523826.00
HLIO,1793907950.00
HLIT,1075192926.00
HLMN,1773633846.00
HLN,42439336650.00
HLNE,6879484821.00
HLT,63559396143.00
HLX,1104577687.00
HMC,42972491302.00
HMN,1812922174.00
HMY,12149454237.00
HNGE,3909206099.00
HNI,1887331328.00
HOG,2803506409.00
HOLX,16686685368.00
HOMB,5605388678.00
HON,122044367994.00
HOOD,123260810163.00
HOPE,1401075538.00
HOUS,1591134576.00
HP,2960342576.00
HPE,30215406420.00
HPQ,24208777941.00
HQY,8173689482.00
HR,6139436910.00
HRB,5318712581.00
HRI,4714651171.00
HRL,13287962141.00
HRMY,2203060694.00
HROW,1732241677.00
HSAI,2648028603.00
HSBC,246327290072.00
HSIC,8633937345.00
HSII,1225394604.00
HST,11800751494.00
HSY,37000173360.00
HTFB,1067897547.00
HTFC,1055176377.00
HTFL,2464067534.00
HTGC,3441740341.00
HTH,2136072944.00
HTHT,14487524246.00
HTO,1701457829.00
HTZ,1601587532.00
HUBB,23261989398.00
HUBG,2424736672.00
HUBS,19751448149.00
HUM,30431491665.00
HUN,1739247770.00
HURN,2940015123.00
HUT,4625048216.00
HWC,5313613903.00
HWCPZ,1993437083.00
HWKN,2884942006.00
HWM,78912760163.00
HXL,6177415900.00
IAC,2800753201.00
IAG,8721548000.00
IART,1056995946.00
IAS,1722187468.00
IAUX,1032852465.00
IBKR,29371763516.00
IBM,287889096096.00
IBN,109530531509.00
IBOC,4284645911.00
IBP,7274749494.00
IBRX,2265419912.00
